ab,bb,hr,pos,rank,avg,id,name,k,r,games,rbi,team,sb,slg,obp
589,110,27,OF,1,.323,3280,Mike Trout,136,109,,97,LAA,33,.557,.432
555,90,44,3B,2,.348,897,Miguel Cabrera,94,103,,137,Det,3,.636,.442
583,78,21,OF,3,.317,1643,Andrew McCutchen,101,97,,84,Pit,27,.508,.404
602,99,36,1B,4,.302,3486,Paul Goldschmidt,145,103,,125,Ari,15,.551,.401
391,41,26,OF,5,.302,1600,Carlos Gonzalez,118,72,,70,Col,21,.591,.367
584,72,53,1B,6,.286,1981,Chris Davis,199,103,,138,Bal,4,.634,.370
577,47,9,OF,7,.298,1579,Jacoby Ellsbury,92,92,,53,NYY,52,.426,.355
530,82,36,"1B, DH",8,.272,969,Edwin Encarnacion,62,90,,104,Tor,7,.534,.370
605,65,27,2B,9,.314,1139,Robinson Cano,85,81,,107,Sea,7,.516,.383
631,50,30,3B,10,.315,386,Adrian Beltre,78,88,,92,Tex,1,.509,.371
653,25,33,OF,11,.285,1418,Adam Jones,136,100,,108,Bal,14,.493,.318
304,27,20,SS,12,.345,1130,Hanley Ramirez,52,62,,57,LAD,10,.638,.402
624,75,25,1B,13,.279,978,Prince Fielder,117,82,,106,Tex,1,.457,.362
225,27,9,OF,14,.298,1659,Ryan Braun,56,30,,38,Mil,4,.498,.372
446,57,25,SS,15,.312,1452,Troy Tulowitzki,85,72,,82,Col,1,.540,.391
536,37,24,OF,16,.284,1697,Carlos Gomez,146,80,,73,Mil,40,.506,.338
564,76,17,2B,17,.284,3466,Jason Kipnis,143,86,,84,Cle,30,.452,.366
430,55,18,3B,18,.307,1044,David Wright,79,63,,58,NYM,17,.514,.390
581,135,24,1B,19,.305,1612,Joey Votto,138,101,,73,Cin,6,.491,.435
424,61,20,OF,20,.274,3390,Bryce Harper,94,71,,58,Wsh,11,.486,.368
641,73,9,2B,21,.301,1271,Dustin Pedroia,75,91,,84,Bos,17,.415,.372
600,43,20,SS,22,.280,2215,Ian Desmond,145,77,,80,Wsh,21,.453,.331
614,70,32,3B,23,.269,1581,Evan Longoria,162,91,,88,TB,1,.498,.343
382,36,19,OF,24,.319,5068,Yasiel Puig,97,66,,42,LAD,11,.534,.391
616,41,18,OF,25,.278,954,Alex Rios,108,83,,81,Tex,42,.432,.324
382,34,10,SS,26,.296,850,Jose Reyes,47,58,,37,Tor,15,.427,.353
545,51,13,2B,27,.277,1132,Ian Kinsler,59,85,,72,Det,15,.413,.344
551,66,23,1B,28,.319,2487,Freddie Freeman,121,89,,109,Atl,1,.501,.396
425,74,24,OF,29,.249,2971,Giancarlo Stanton,140,62,,62,Mia,1,.480,.365
569,112,21,OF,30,.285,1140,Shin-Soo Choo,133,107,,54,Tex,20,.462,.423
520,60,15,"C, 1B",31,.294,2380,Buster Posey,70,61,,72,SF,2,.450,.371
558,75,27,OF,32,.263,1762,Justin Upton,161,94,,70,Atl,8,.464,.354
