ab,bb,hr,pos,rank,avg,id,name,k,r,games,rbi,team,sb,slg,obp
573,,32.0,OF,1,.323,8861,Mike Trout,,118,,92.0,LAA,40.0,,
580,,42.0,3B,2,.341,7163,Miguel Cabrera,,106,,132,Det,2.0,,
559,,31.0,1B,3,.295,8967,Paul Goldschmidt,,98.0,,110,Ari,15.0,,
585,,26.0,OF,4,.313,7977,Andrew McCutchen,,99.0,,89.0,Pit,25.0,,
516,,28.0,OF,6,.300,7934,Carlos Gonzalez,,93.0,,90.0,Col,22.0,,
582,,41.0,1B,7,.266,8285,Chris Davis,,92.0,,105,Bal,3.0,,
533,,29.0,SS,8,.302,7488,Hanley Ramirez,,88.0,,88.0,LAD,21.0,,
565,,29.0,OF,9,.287,8875,Bryce Harper,,105,,85.0,Was,17.0,,
615,,28.0,2B,10,.317,7497,Robinson Cano,,88.0,,98.0,Sea,6.0,,
637,,30.0,OF,11,.284,7812,Adam Jones,,96.0,,95.0,Bal,14.0,,
541,,30.0,OF,12,.301,8034,Ryan Braun,,83.0,,92.0,Mil,19.0,,
598,,32.0,3B,13,.314,6039,Adrian Beltre,,89.0,,98.0,Tex,1.0,,
525,,31.0,SS,14,.309,7850,Troy Tulowitzki,,90.0,,94.0,Col,5.0,,
581,,28.0,1B,15,.313,7946,Joey Votto,,102,,91.0,Cin,5.0,,
526,,33.0,"1B,3B",16,.268,7278,Edwin Encarnacion,,88.0,,100,Tor,9.0,,
601,,33.0,1B,17,.293,7290,Prince Fielder,,85.0,,108,Tex,0.0,,
599,,14.0,OF,19,.290,7912,Jacoby Ellsbury,,96.0,,67.0,NYY,45.0,,
568,,25.0,3B,20,.303,7382,David Wright,,86.0,,85.0,NYM,19.0,,
485,,23.0,OF,21,.293,8023,Carlos Gomez,,77.0,,68.0,Mil,39.0,,
512,,38.0,OF,23,.287,8634,Giancarlo Stanton,,83.0,,89.0,Mia,4.0,,
574,,34.0,3B,24,.280,7914,Evan Longoria,,91.0,,100,TB,2.0,,
614,,14.0,2B,26,.309,7631,Dustin Pedroia,,99.0,,83.0,Bos,23.0,,
560,,27.0,OF,27,.302,9341,Yasiel Puig,,90.0,,69.0,LAD,22.0,,
559,,20.0,2B,28,.281,8853,Jason Kipnis,,91.0,,88.0,Cle,28.0,,
507,,35.0,OF,30,.260,7264,Jose Bautista,,96.0,,90.0,Tor,8.0,,
551,,28.0,1B,31,.298,8658,Freddie Freeman,,88.0,,100,Atl,3.0,,
562,,28.0,OF,35,.279,8080,Justin Upton,,100,,81.0,Atl,14.0,,
593,,16.0,SS,37,.314,7066,Jose Reyes,,98.0,,54.0,Tor,35.0,,
576,,25.0,OF,39,.297,7498,Shin-Soo Choo,,97.0,,65.0,Tex,21.0,,
584,,18.0,SS,40,.295,9247,Jean Segura,,92.0,,61.0,Mil,37.0,,
597,,34.0,OF,41,.251,8171,Jay Bruce,,88.0,,102,Cin,7.0,,
609,,24.0,SS,43,.289,8589,Ian Desmond,,80.0,,79.0,Was,24.0,,
599,,20.0,OF,44,.280,7254,Alex Rios,,83.0,,80.0,Tex,31.0,,
568,,31.0,1B,45,.282,6619,Albert Pujols,,82.0,,98.0,LAA,3.0,,
